"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Gintautas\greenhouse\config\app.js", "JavaScript", 45, 177, 22, 244
"c:\Users\Gintautas\greenhouse\config\auth.js", "JavaScript", 37, 52, 7, 96
"c:\Users\Gintautas\greenhouse\config\bodyParser.js", "JavaScript", 29, 119, 10, 158
"c:\Users\Gintautas\greenhouse\config\cors.js", "JavaScript", 9, 72, 7, 88
"c:\Users\Gintautas\greenhouse\config\database.js", "JavaScript", 33, 42, 7, 82
"c:\Users\Gintautas\greenhouse\config\hash.js", "JavaScript", 11, 34, 5, 50
"c:\Users\Gintautas\greenhouse\config\roles.js", "JavaScript", 5, 0, 2, 7
"c:\Users\Gintautas\greenhouse\config\session.js", "JavaScript", 23, 70, 9, 102
"c:\Users\Gintautas\greenhouse\config\shield.js", "JavaScript", 27, 110, 8, 145
"Total", "-", 219, 676, 77, 972
