"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\AuthController.js", "JavaScript", 6, 0, 3, 9
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\GreenhouseControlController.js", "JavaScript", 19, 1, 5, 25
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\HumidityDatumController.js", "JavaScript", 30, -6, 2, 26
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\SoilHumidityDatumController.js", "JavaScript", 48, 12, 6, 66
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\TemperatureDatumController.js", "JavaScript", 30, -6, 2, 26
"c:\Users\Gintautas\greenhouse\app\Controllers\Http\UserController.js", "JavaScript", -106, -21, -6, -133
"c:\Users\Gintautas\greenhouse\app\Exceptions\BadRequestException.js", "JavaScript", 13, 0, 5, 18
"c:\Users\Gintautas\greenhouse\app\Exceptions\Handler.js", "JavaScript", 23, 27, 8, 58
"c:\Users\Gintautas\greenhouse\app\Exceptions\HandlerException.js", "JavaScript", -23, -27, -8, -58
"c:\Users\Gintautas\greenhouse\app\Models\SoilHumidityDatum.js", "JavaScript", 8, 1, 4, 13
"c:\Users\Gintautas\greenhouse\app\Models\User.js", "JavaScript", 3, 0, 1, 4
"Total", "-", 51, -19, 22, 54
